act id;activity;match;errorcode;;phrase id;phrase
1;Determine parts, amounts, and delivery date;0;;;0;0  Every time we get a new order from the sales department , first , one of my masters determines the necessary parts and quantities as well as the delivery date .
2;Transfer data to PPS;4;;;1;1  Once that information is present , it has to be entered into our production planning system -LRB- PPS -RRB- .
3;Procure parts;6;;;2;2  It optimizes our production processes and creates possibly uniform work packages so that the setup times are minimized .
4;Produce order;7;;;3;3  Besides , it creates a list of parts to be procured .
5;Review quality;7;;;4;4  Unfortunately it is not coupled correctly to our Enterprise Resource Planning system -LRB- ERP -RRB- , so the data must be transferred manually .
;;;;;5;5  By the way , that is the second step .
;;;;;6;6  Once all the data is present , we need to decide whether any parts are missing and must be procured or .
;;;;;7;7  Once production is scheduled to start , we receive a notice from the system and an employee takes care of the implementation.Finally , the order will be checked again for its quality .
;;;;;;
;;;;;;
error codes: missing activity = m, wrong order = w, ambiguous = a, else leave empty;;;;;;
Original text;;;;;;
Every time we get a new order from the sales department, first, one of my masters determines the necessary parts and quantities as well as the delivery date.;;;;;;
Once that information is present, it has to be entered into our production planning system (PPS).;;;;;;
It optimizes our production processes and creates possibly uniform work packages so that the setup times are minimized.;;;;;;
Besides, it creates a list of parts to be procured.;;;;;;
Unfortunately it is not coupled correctly to our Enterprise Resource Planning system (ERP), so the data must be transferred manually.;;;;;;
By the way, that is the second step.;;;;;;
Once all the data is present, we need to decide whether any parts are missing and must be procured or if this is not necessary.;;;;;;
Once production is scheduled to start, we receive a notice from the system and an employee takes care of the implementation.Finally, the order will be checked again for its quality.;;;;;;
