act id;activity;match;errorcode;;phrase id;phrase
1;receive order;1;;;0;0  A small company manufactures customized bicycles .
2;accept order;2;;;1;1  Whenever the sales department receives an order , a new process instance is created .
3;reject order;2;;;2;2  A member of the sales department can then reject or accept the order for a customized bike .
4;Inform storehouse and engineering department;4;;;3;3  In the former case , the process instance is finished .
5;check part quantity;5;;;4;4  In the latter case , the storehouse and the engineering department are informd .
6;Back-order part;7;;;5;5  The storehouse immediately processes the part list of the order and checks the required quantity of each part .
7;reserve part;6;;;6;6  , it is reserved .
8;prepare for assembling;9;;;7;7  , it is back-ordered .
9;assemble bicycle;10;;;8;8  This procedure is repeated for each item on the part list .
10;ship bicycle to customer;11;;;9;9  In the meantime , the engineering department prepares everything for the assembling of the ordered bicycle .
11;select unchecked part;;m;;10;10  , the engineering department assembles the bicycle .
;;;;;11;11  Afterwards , the sales department ships the bicycle to the customer and finishes the process instance .
;;;;;;
;;;;;;
error codes: missing activity = m, wrong order = w, ambiguous = a, else leave empty;;;;;;
Original text;;;;;;
A small company manufactures customized bicycles.;;;;;;
"Whenever the sales department receives an order,
 a new process instance is created.";;;;;;
A member of the sales department can then reject or accept the order for a customized bike.;;;;;;
In the former case, the process instance is finished.;;;;;;
"In the latter case, the storehouse and the engineering department are 
 informd.";;;;;;
The storehouse immediately processes the part list of the order and checks the required quantity of each part.;;;;;;
If the part is available in-house, it is reserved.;;;;;;
If it is not available, it is back-ordered.;;;;;;
"This procedure is repeated for 
 each item on the part list.";;;;;;
"In the meantime, the engineering department prepares everything for the assembling of the ordered 
 bicycle.";;;;;;
"If the storehouse has successfully reserved or back-ordered every item of the part list and the preparation activity 
 has finished, the engineering department assembles the bicycle.";;;;;;
"Afterwards, the sales department ships the bicycle to the 
 customer and finishes the process instance.";;;;;;
